code_hs	designation	unite_us	taux_dd	categorie	statut
0106.31.00.00	-- Oiseaux de proie	u	10.00	2	actif
0106.32.00.00	-- Psittaciformes (y compris les perroquets, perruches, aras et cacatoès)	u	10.00	2	actif
0106.33.00.00	-- Autruches; émeus (Dromaius novaehollandiae)	u	10.00	2	actif
0106.39.00.00	-- Autres - Insectes :	u	10.00	2	actif
0106.41.00.00	-- Abeilles	u	5.00	1	actif
0106.49.00.00	-- Autres	u	10.00	2	actif
0106.90.00.00	- Autres	u	10.00	2	actif
0201.10.00.00	- En carcasses ou demi-carcasses	kg	35.00	4	actif
0201.20.00.00	- Autres morceaux non désossés	kg	35.00	4	actif
0201.30.00.00	- Désossées Viandes des animaux de l'espèce bovine, congelées.	kg	35.00	4	actif
0202.10.00.00	- En carcasses ou demi-carcasses	kg	35.00	4	actif
0202.20.00.00	- Autres morceaux non désossés	kg	35.00	4	actif
0202.30.00.00	- Désossées Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées. - Fraîches ou réfrigérées :	kg	35.00	4	actif
0203.11.00.00	-- En carcasses ou demi-carcasses	kg	35.00	4	actif
0203.12.00.00	-- Jambons, épaules et leurs morceaux, non désossés	kg	35.00	4	actif
0203.19.00.00	-- Autres - Congelées :	kg	35.00	4	actif
0203.21.00.00	-- En carcasses ou demi-carcasses	kg	35.00	4	actif
0203.22.00.00	-- Jambons, épaules et leurs morceaux, non désossés	kg	35.00	4	actif
0203.29.00.00	-- Autres Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées.	kg	35.00	4	actif
0204.10.00.00	- Carcasses et demi-carcasses d'agneau, fraîches ou réfrigérées - Autres viandes des animaux de l'espèce ovine, fraîches ou réfrigérées :	kg	35.00	4	actif
0204.21.00.00	-- En carcasses ou demi-carcasses	kg	35.00	4	actif
0204.22.00.00	-- En autres morceaux non désossés	kg	35.00	4	actif
0204.23.00.00	-- Désossées	kg	35.00	4	actif
0204.30.00.00	- Carcasses et demi-carcasses d'agneau	kg	35.00	4	actif
0204.41.00.00	-- En carcasses ou demi-carcasses	kg	35.00	4	actif
0204.42.00.00	-- En autres morceaux non désossés	kg	35.00	4	actif
0204.43.00.00	-- Désossées	kg	35.00	4	actif
0204.50.00.00	- Viandes des animaux de l'espèce caprine	kg	35.00	4	actif
0205.00.00.00	Viandes des animaux des espèces chevaline, asine ou mulassière, fraîches, réfrigérées ou congelées. Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés.	kg	20.00	3	actif
0206.10.00.00	- De l'espèce bovine, frais ou réfrigérés - De l'espèce bovine, congelés :	kg	35.00	4	actif
0206.21.00.00	-- Langues	kg	35.00	4	actif
0206.22.00.00	-- Foies	kg	35.00	4	actif
0206.29.00.00	-- Autres	kg	35.00	4	actif
0206.30.00.00	- De l'espèce porcine, frais ou réfrigérés - De l'espèce porcine, congelés :	kg	35.00	4	actif
0206.41.00.00	-- Foies	kg	35.00	4	actif
0206.49.00.00	-- Autres	kg	35.00	4	actif
0206.80.00.00	- Autres, frais ou réfrigérés	kg	35.00	4	actif
0206.90.00.00	- Autres, congelés Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du n° 01.05. - De volailles de l'espèce Gallus domesticus :	kg	35.00	4	actif
0207.11.00.00	-- Non découpés en morceaux, frais ou réfrigérés	kg	35.00	4	actif
0207.12.00.00	-- Non découpés en morceaux, congelés	kg	35.00	4	actif
0207.13.00.00	-- Morceaux et abats, frais ou réfrigérés	kg	35.00	4	actif
0207.14.00.00	-- Morceaux et abats, congelés - De dindes et dindons :	kg	35.00	4	actif
0207.24.00.00	-- Non découpés en morceaux, frais ou réfrigérés	kg	35.00	4	actif
0207.25.00.00	-- Non découpés en morceaux, congelés	kg	35.00	4	actif
0207.26.00.00	-- Morceaux et abats, frais ou réfrigérés	kg	35.00	4	actif
0207.27.00.00	-- Morceaux et abats, congelés - De canards :	kg	35.00	4	actif
0207.41.00.00	-- Non découpés en morceaux, frais ou réfrigérés	kg	35.00	4	actif
0207.42.00.00	-- Non découpés en morceaux, congelés	kg	35.00	4	actif
0207.43.00.00	-- Foies gras, frais ou réfrigérés	kg	35.00	4	actif
0207.44.00.00	-- Autres, frais ou réfrigérés	kg	35.00	4	actif
0207.45.00.00	-- Autres, congelés	kg	35.00	4	actif
0207.51.00.00	-- Non découpés en morceaux, frais ou réfrigérés kg	kg	35.00	4	actif
0207.52.00.00	-- Non découpés en morceaux, congelés kg	kg	35.00	4	actif
0207.53.00.00	-- Foies gras, frais ou réfrigérés kg	kg	35.00	4	actif
0207.54.00.00	-- Autres, frais ou réfrigérés kg	kg	35.00	4	actif
0207.55.00.00	-- Autres, congelés kg	kg	35.00	4	actif
0207.60.00.00	- De pintades kg Autres viandes et abats comestibles, frais, réfrigérés ou congelés.	kg	35.00	4	actif
0208.10.00.00	- De lapins ou de lièvres kg	kg	20.00	3	actif
0208.30.00.00	- De primates kg	kg	20.00	3	actif
0208.40.00.00	- De baleines, dauphins et marsouins (mammifèresde l'ordre Cetacea); de lamantins et dugongs (mammifères de l'ordre Sirenia); d'otaries et phoques, lions de mer et morses (mammifères dusous-ordre Pinnipedia) kg	kg	20.00	3	actif
0208.50.00.00	- De reptiles (y compris les serpents et les tortues de mer) kg	kg	20.00	3	actif
0208.60.00.00	- De chameaux et d'autres camélidés (Camelidae) kg	kg	20.00	3	actif
0208.90.00.00	- Autres kg Lard sans parties maigres, graisse de porc et graisse de volailles non fondues ni autrement extraites, frais, réfrigérés, congelés, salés ou en saumure, séchés ou fumés.	kg	20.00	3	actif
0209.10.00.00	- De porc kg	kg	20.00	3	actif
0209.90.00.00	- Autres kg Viandes et abats comestibles, salés ou en saumure, séchés ou fumés; farines et poudres, comestibles, de viandes ou d'abats. - Viandes de l'espèce porcine :	kg	20.00	3	actif
0210.11.00.00	-- Jambons, épaules et leurs morceaux, non désossés kg	kg	20.00	3	actif
0210.12.00.00	-- Poitrines (entrelardées) et leurs morceaux kg	kg	20.00	3	actif
0210.19.00.00	-- Autres kg	kg	20.00	3	actif
0210.20.00.00	- Viandes de l'espèce bovine kg - Autres, y compris les farines et poudres, comestibles, de viandes ou d'abats :	kg	35.00	4	actif
0210.91.00.00	-- De primates kg	kg	20.00	3	actif
0210.92.00.00	-- De baleines, dauphins et marsouins (mammifères de l'ordre Cetacea); de lamantins et dugongs (mammifères de l'ordre Sineria); d'otaries et phoques, lions de mer et kg	kg	20.00	3	actif
0210.93.00.00	-- De reptiles (y compris les serpents et les tortues de mer) kg	kg	20.00	3	actif
0210.99.00.00	-- Autres kg	kg	20.00	3	actif
0301.11.00.00	-- D'eau douce	kg	10.00	2	actif
0301.19.00.00	-- Autres - Autres poissons vivants : -- Truites (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache et Oncorhynchus chrysogaster) :	kg	10.00	2	actif
0301.91.10.00	--- Alevins	kg	5.00	1	actif
0301.91.90.00	--- Autres -- Anguilles (Anguilla spp.) :	kg	10.00	2	actif
0301.92.10.00	--- Alevins	kg	5.00	1	actif
0301.92.90.00	--- Autres -- Carpes (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.) :	kg	10.00	2	actif
0301.93.10.00	--- Alevins	kg	5.00	1	actif
0301.93.90.00	--- Autres -- Thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus, Thunnus orientalis) :	kg	10.00	2	actif
0301.94.10.00	--- Alevins	kg	5.00	1	actif
0301.94.90.00	--- Autres -- Thons rouges du sud (Thunnus maccoyii) :	kg	10.00	2	actif
0301.95.10.00	--- Alevins	kg	5.00	1	actif
0301.95.90.00	--- Autres -- Autres :	kg	10.00	2	actif
0301.99.10.00	--- Alevins	kg	5.00	1	actif
0301.99.90.00	--- Autres Poissons frais ou réfrigérés, à l'exception des filets de poissons et autre chair de poissons du n° 03.04. - Salmonidés, à l'exclusion des abats de poissons comestibles des nos 0302.91 à 0302.99 :	kg	10.00	2	actif
0302.11.00.00	-- Truites (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache et Oncorhynchus chrysogaster)	kg	10.00	2	actif
0302.13.00.00	-- Saumons du Pacifique (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou et Oncorhynchus rhodurus)	kg	10.00	2	actif
0302.14.00.00	-- Saumons de l'Atlantique (Salmo salar) et saumons du Danube (Hucho hucho)	kg	10.00	2	actif
0302.19.00.00	-- Autres - Poissons plats (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae et Citharidae), à l'exclusion des abats de poissons comestibles des nos 0302.91 à 0302.99 :	kg	10.00	2	actif
0302.21.00.00	-- Flétans (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)	kg	10.00	2	actif
0302.22.00.00	-- Plies ou carrelets (Pleuronectes platessa)	kg	10.00	2	actif
0302.23.00.00	-- Soles (Solea spp.)	kg	10.00	2	actif
0302.24.00.00	-- Turbots (Psetta maxima)	kg	10.00	2	actif
0302.29.00.00	-- Autres - Thons (du genre Thunnus), listaos (bonites à ventre rayé) (Katsuwonus pelamis), à l'exclusion des abats de poissons comestibles des n°s 0302.91 à 0302.99 :	kg	10.00	2	actif
0302.31.00.00	-- Thons blancs ou germons (Thunnus alalunga)	kg	10.00	2	actif
0302.32.00.00	-- Thons à nageoires jaunes (Thunnus albacares)	kg	10.00	2	actif
0302.33.00.00	-- Listaos (bonites à ventre rayé) (Katsuwonus pelamis)	kg	10.00	2	actif
0302.34.00.00	-- Thons obèses (Thunnus obesus)	kg	10.00	2	actif
0302.35.00.00	-- Thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus, Thunnus orientalis)	kg	10.00	2	actif
0302.36.00.00	-- Thons rouges du sud (Thunnus maccoyii)	kg	10.00	2	actif
0302.39.00.00	-- Autres - Harengs (Clupea harengus, Clupea pallasii), anchois (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinelles (Sardinella spp.), sprats ou esprots (Sprattus sprattus), maquereaux (Scomber scombrus, Scomber australasicus, Scomber japonicus), maquereaux indo-pacifiques (Rastrelliger spp.), thazards (Scomberomorus spp.), chinchards (Trachurus spp.), carangues (Caranx spp.), mafous (Rachycentroncanadum), castagnoles argentées (Pampus spp.) balaous du Pacifique (Cololabis saira), comètes (Decapterus spp.) capelans (Mallotus villosus), espadons (Xiphias gladius), thonines orientales (Euthynnus affinis), bonites (Sarda spp.), makaires, marlins, voiliers (Istiophoridae), à l'exclusion des abats de poissons comestibles des nos 0302.91 à 0302.99 :	kg	10.00	2	actif
0302.41.00.00	-- Harengs (Clupea harengus, Clupea pallasii)	kg	10.00	2	actif
0302.42.00.00	-- Anchois (Engraulis spp.)	kg	10.00	2	actif
0302.43.00.00	-- Sardines (Sardina pilchardus, Sardinops spp.), sardinelles (Sardinella spp.), sprats ou esprots (Sprattus sprattus)	kg	10.00	2	actif
0302.44.00.00	-- Maquereaux (Scomber scombrus, Scomber australasicus, Scomber japonicus)	kg	10.00	2	actif
0302.45.00.00	-- Chinchards (Trachurus spp.)	kg	10.00	2	actif
0302.46.00.00	-- Mafous (Rachycentron canadum)	kg	10.00	2	actif
0302.47.00.00	-- Espadons (Xiphias gladius)	kg	10.00	2	actif
0302.49.00.00	-- Autres - Poissons des familles Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae et Muraenolepididae, à l'exclusion des abats de poissons comestibles des nos 0302.91 à 0302.99 :	kg	10.00	2	actif
0302.51.00.00	-- Morues (Gadus morhua, Gadus ogac, Gadus macrocephalus)	kg	10.00	2	actif
0302.52.00.00	-- Eglefins (Melanogrammus aeglefinus)	kg	10.00	2	actif
0302.53.00.00	-- Lieus noirs (Pollachius virens)	kg	10.00	2	actif
0302.54.00.00	-- Merlus (Merluccius spp., Urophycis spp.)	kg	10.00	2	actif
0302.55.00.00	-- Lieus d'Alaska (Theragra chalcogramma)	kg	10.00	2	actif
0302.56.00.00	-- Merlans bleus (Micromesistius poutassou, Micromesistius australis)	kg	10.00	2	actif
0302.59.00.00	-- Autres - Tilapias (Oreochromis spp.), siluridés (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpes (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp.	kg	10.00	2	actif
0302.71.00.00	-- Tilapias (Oreochromis spp.)	kg	10.00	2	actif
0302.72.00.00	-- Siluridés (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)	kg	10.00	2	actif
0302.73.00.00	-- Carpes (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)	kg	10.00	2	actif
0302.74.00.00	-- Anguilles (Anguilla spp.)	kg	10.00	2	actif
0302.79.00.00	-- Autres - Autres poissons, à l'exclusion des abats de poissons comestibles des nos 0302.91 à 0302.99 :	kg	10.00	2	actif
0302.81.00.00	-- Squales	kg	10.00	2	actif
0302.82.00.00	-- Raies (Rajidae)	kg	10.00	2	actif
0302.83.00.00	-- Légines (Dissostichusspp.)	kg	10.00	2	actif
0302.84.00.00	-- Bars (Dicentrarchus spp.)	kg	10.00	2	actif
0302.85.00.00	-- Dorades (Sparidés) (Sparidae)	kg	10.00	2	actif
0302.89.00.00	-- Autres - Foies, oeufs, laitances, nageoires, têtes, queues, vessies natatoires et autres abats de poissons comestibles :	kg	10.00	2	actif
0302.91.00.00	-- Foies, (cid:3)ufs et laitances	kg	10.00	2	actif
0302.92.00.00	-- Ailerons de requins	kg	10.00	2	actif
0302.99.00.00	-- Autres Poissons congelés, à l'exception des filets de poissons et autre chair de poissons du n° 03.04. - Salmonidés, à l'exclusion des abats de poissons comestibles des nos 0303.91 à 0303.99 :	kg	10.00	2	actif
0303.11.00.00	-- Saumons rouges (Oncorhynchusnerka)	kg	10.00	2	actif
0303.12.00.00	-- Autres saumons du Pacifique (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou et Oncorhynchus rhodurus)	kg	10.00	2	actif
0303.13.00.00	-- Saumons de l'Atlantique (Salmo salar) et saumons du Danube (Hucho hucho)	kg	10.00	2	actif
0303.14.00.00	-- Truites (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus	kg	10.00	2	actif
0303.19.00.00	-- Autres - Tilapias (Oreochromis spp.), siluridés (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpes (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anguilles (Anguilla spp.), perches du Nil (Lates niloticus) et poissons tête de serpent (Channa spp.), à l'exclusion des abats de poissons comestibles des nos 0303.91 à 0303.99 :	kg	10.00	2	actif
0303.23.00.00	-- Tilapias (Oreochromis spp.)	kg	10.00	2	actif
0303.24.00.00	-- Siluridés (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)	kg	10.00	2	actif
0303.25.00.00	-- Carpes (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)	kg	10.00	2	actif
0303.26.00.00	-- Anguilles (Anguilla spp.)	kg	10.00	2	actif
0303.29.00.00	-- Autres - Poissons plats (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae et Citharidae), à l'exclusion des abats de poissons comestibles des nos 0303.91 à 0303.99 :	kg	10.00	2	actif
0303.31.00.00	-- Flétans (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)	kg	10.00	2	actif
0303.32.00.00	-- Plies ou carrelets (Pleuronectes platessa)	kg	10.00	2	actif
0303.33.00.00	-- Soles (Solea spp.)	kg	10.00	2	actif
0303.34.00.00	-- Turbots (Psetta maxima)	kg	10.00	2	actif
0303.39.00.00	-- Autres - Thons (du genre Thunnus), listaos (bonites à ventre rayé) (Katsuwonus pelamis), à l'exclusion des abats de poissons comestibles des n°s 0303.91 à 0303.	kg	10.00	2	actif
0303.41.00.00	-- Thons blancs ou germons (Thunnus alalunga)	kg	10.00	2	actif
0303.42.00.00	-- Thons à nageoires jaunes (Thunnus albacares)	kg	10.00	2	actif
0303.43.00.00	-- Listaos (bonites à ventre rayé) (Katsuwonus pelamis)	kg	10.00	2	actif
0303.44.00.00	-- Thons obèses (Thunnus obesus)	kg	10.00	2	actif
0303.45.00.00	-- Thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus, Thunnus orientalis)	kg	10.00	2	actif
0303.46.00.00	-- Thons rouges du sud (Thunnus maccoyii)	kg	10.00	2	actif
0303.49.00.00	-- Autres - Harengs (Clupea harengus, Clupea pallasii), anchois (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinelles (Sardinella spp.), sprats ou esprots (Sprattus sprattus), maquereaux (Scomber scombrus, Scomber australasicus, Scomber japonicus), maquereaux indo-pacifiques (Rastrelliger spp.), thazards (Scomberomorus spp.), chinchards (Trachurus spp.), carangues (Caranx spp.), mafous (Rachycentroncanadum), castagnoles argentées (Pampus spp.), balaous du Pacifique (Cololabis saira), comètes (Decapterus spp.), capelans (Mallotus villosus), espadons (Xiphias gladius), thonines orientales (Euthynnus affinis), bonites (Sarda spp.), makaires, marlins, voiliers (Istiophoridae), à l'exclusion des abats de poissons comestibles des nos 0303.91 à 0303.99 :	kg	10.00	2	actif
0303.51.00.00	-- Harengs (Clupea harengus, Clupea pallasii)	kg	10.00	2	actif
0303.53.00.00	-- Sardines (Sardina pilchardus, Sardinops spp.), sardinelles (Sardinella spp.), sprats ou esprots (Sprattus sprattus)	kg	10.00	2	actif
0303.54.00.00	-- Maquereaux (Scomber scombrus, Scomber australasicus, Scomber japonicus)	kg	10.00	2	actif
0303.55.00.00	-- Chinchards (Trachurus spp.)	kg	10.00	2	actif
0303.56.00.00	-- Mafous (Rachycentron canadum)	kg	10.00	2	actif
0303.57.00.00	-- Espadons (Xiphias gladius)	kg	10.00	2	actif
0303.59.00.00	-- Autres - Poissons des familles Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae et Muraenolepididae, à l'exclusion des abats de poissons comestibles des nos 0303.91 à 0303.99 :	kg	10.00	2	actif
0303.63.00.00	-- Morues (Gadus morhua, Gadus ogac, Gadus macrocephalus)	kg	10.00	2	actif
0303.64.00.00	-- Eglefins (Melanogrammus aeglefinus)	kg	10.00	2	actif
0303.65.00.00	-- Lieus noirs (Pollachius virens)	kg	10.00	2	actif
0303.66.00.00	-- Merlus (Merluccius spp., Urophycis spp.)	kg	10.00	2	actif
0303.67.00.00	-- Lieus d'Alaska (Theragra chalcogramma)	kg	10.00	2	actif
0303.68.00.00	-- Merlans bleus (Micromesistius poutassou, Micromesistius australis)	kg	10.00	2	actif
0303.69.00.00	-- Autres - Autres poissons, à l'exclusion des abats de poissons comestibles des nos 0303.91 à 0303.99 :	kg	10.00	2	actif
0303.81.00.00	-- Squales	kg	10.00	2	actif
0303.82.00.00	-- Raies (Rajidae)	kg	10.00	2	actif
0303.83.00.00	-- Légines (Dissostichusspp.)	kg	10.00	2	actif
0303.84.00.00	-- Bars (Dicentrarchus spp.)	kg	10.00	2	actif
0303.89.00.00	-- Autres - Foies, oeufs, laitances, nageoires, têtes, queues, vessies natatoires et autres abats de poissons comestibles :	kg	10.00	2	actif
0303.91.00.00	-- Foies, (cid:3)ufs et laitances	kg	20.00	3	actif
0303.92.00.00	-- Ailerons de requins	kg	20.00	3	actif
0303.99.00.00	-- Autres Filets de poissons et autre chair de poissons (même hachée), frais, réfrigérés ou congelés. - Filets de tilapias (Oreochromis spp.), siluridés (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpes (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anguilles (Anguilla spp.), perches du Nil (Lates niloticus) et de poissons tête de serpent (Channa spp.), frais ou réfrigérés :	kg	20.00	3	actif
0304.31.00.00	-- Tilapias (Oreochromis spp.)	kg	20.00	3	actif
0304.32.00.00	-- Siluridés (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)	kg	20.00	3	actif
0304.33.00.00	-- Perches du Nil (Lates niloticus)	kg	20.00	3	actif
0304.39.00.00	-- Autres - Filets d'autres poissons, frais ou réfrigérés :	kg	20.00	3	actif
0304.41.00.00	-- Saumons du Pacifique (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou et Oncorhynchus rhodurus), saumons de l'Atlantique (Salmo salar) et saumons du Danube (Hucho hucho)	kg	20.00	3	actif
0304.42.00.00	-- Truites (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache et Oncorhynchus chrysogaster)	kg	20.00	3	actif
0304.43.00.00	-- Poissons plats (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae et Citharidae)	kg	20.00	3	actif
0304.44.00.00	-- Poissons des familles Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae et Muraenolepididae	kg	20.00	3	actif
0304.45.00.00	-- Espadons (Xiphias gladius)	kg	20.00	3	actif
0304.46.00.00	-- Légines (Dissostichus spp.)	kg	20.00	3	actif
0304.47.00.00	-- Squales	kg	20.00	3	actif
0304.48.00.00	-- Raies (Rajidae)	kg	20.00	3	actif
0304.49.00.00	-- Autres - Autres, frais ou réfrigérés :	kg	20.00	3	actif
0304.51.00.00	-- Tilapias (Oreochromis spp.), siluridés (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpes (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anguilles (Anguilla spp.), perches du Nil (Lates niloticus) et poissons tête de serpent (Channa spp.)	kg	20.00	3	actif
0304.52.00.00	-- Salmonidés	kg	20.00	3	actif
0304.53.00.00	-- Poissons des familles Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae et Muraenolepididae	kg	20.00	3	actif
0304.54.00.00	-- Espadons (Xiphias gladius)	kg	20.00	3	actif
0304.55.00.00	-- Légines (Dissostichus spp.)	kg	20.00	3	actif
0304.56.00.00	-- Squales	kg	20.00	3	actif
0304.57.00.00	-- Raies (Rajidae)	kg	20.00	3	actif
0304.59.00.00	-- Autres - Filets de tilapias (Oreochromis spp.), siluridés (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpes (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anguilles (Anguilla spp.), perches du Nil (Lates niloticus) et poissons tête de serpent (Channa spp.), congelés :	kg	20.00	3	actif
0304.61.00.00	-- Tilapias (Oreochromis spp.)	kg	20.00	3	actif
0304.62.00.00	-- Siluridés (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)	kg	20.00	3	actif
0304.63.00.00	-- Perches du Nil (Lates niloticus)	kg	20.00	3	actif
0304.69.00.00	-- Autres - Filets de poissons des familles Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae et Muraenolepididae, congelés :	kg	20.00	3	actif
0304.71.00.00	-- Morues (Gadus morhua, Gadus ogac, Gadus macrocephalus)	kg	20.00	3	actif
0304.72.00.00	-- Eglefins (Melanogrammus aeglefinus)	kg	20.00	3	actif
0304.73.00.00	-- Lieus noirs (Pollachius virens)	kg	20.00	3	actif
0304.74.00.00	-- Merlus (Merluccius spp., Urophycis spp.)	kg	20.00	3	actif
0304.75.00.00	-- Lieus d'Alaska (Theragra chalcogramma)	kg	20.00	3	actif
0304.79.00.00	-- Autres - Filets d'autres poissons, congelés :	kg	20.00	3	actif
